a,b,c,d,e,f
9,21,22,31,32,35
2,7,20,21,30,37
3,4,5,7,30,39
6,14,23,27,31,40
12,13,18,25,31,38
10,12,16,18,39,42
5,22,25,33,38,39
1,5,8,29,37,42
2,8,20,27,39,42
6,10,23,26,29,37
4,5,12,25,32,39
8,20,28,31,34,38
4,6,15,25,37,40
12,15,23,26,27,32
2,4,13,25,31,38
1,8,22,31,39,40
2,5,26,33,37,39
3,4,6,19,33,36
7,9,25,29,35,39
5,6,27,30,34,40
1,5,10,15,38,39
1,19,21,26,33,40
9,16,19,37,40,41
1,6,10,11,15,37
4,11,21,24,33,36
10,13,21,38,40,41
1,12,21,32,37,42
3,24,27,35,36,37
1,5,22,25,39,42
5,11,23,29,36,37
2,7,22,31,34,38
8,19,21,22,27,36
7,10,26,28,34,39
3,8,10,11,15,39
8,13,22,32,35,37
2,10,15,16,33,34
1,6,17,24,31,35
13,17,29,32,34,41
14,20,21,22,27,33
8,16,17,19,22,41
4,6,12,31,36,41
9,13,17,24,30,35
1,15,27,29,30,34
8,11,12,14,20,24
2,3,4,18,25,39
5,9,11,19,31,32
17,18,19,32,38,41
6,7,23,36,40,42
1,2,7,19,22,40
5,17,23,27,31,40
7,8,14,18,28,36
12,14,16,31,34,37
16,21,29,30,34,39
6,9,16,26,34,41
19,20,22,26,28,38
6,16,17,23,38,41
14,15,25,37,41,42
6,18,24,34,38,39
9,12,14,15,27,39
3,4,8,10,30,36
3,7,18,20,25,26
5,6,14,24,28,29
3,4,11,14,16,33
16,21,24,27,37,39
4,13,18,25,30,39
7,10,17,20,37,41
1,7,15,17,25,33
6,16,17,21,26,30
4,17,19,24,36,39
1,4,6,21,26,42
2,13,29,32,34,39
9,16,30,33,36,37
1,3,18,22,23,28
1,5,8,13,25,31
7,15,26,36,39,42
2,5,12,19,27,36
5,10,15,25,31,32
3,8,9,12,22,24
1,12,13,15,19,37
2,5,8,11,20,35
7,8,10,12,24,35
12,20,29,30,33,42
8,9,11,25,29,37
2,12,16,17,37,41
3,11,16,25,29,37
3,20,24,31,32,40
8,18,24,28,31,41
2,3,14,22,25,41
6,9,16,20,29,39
13,14,15,23,32,41
4,16,17,24,39,40
10,12,25,30,32,42
7,18,24,26,27,29
5,7,8,19,26,39
4,6,7,11,28,29
5,12,14,19,22,30
2,6,25,28,29,32
4,5,10,15,21,34
4,18,24,27,28,41
3,21,24,30,33,35
4,6,14,24,32,33
6,8,15,19,26,31
18,19,27,31,36,40
7,8,19,27,31,35
2,5,8,30,37,38
12,13,23,24,30,33
3,9,20,28,33,42
1,6,8,11,26,38
1,14,18,23,37,42
8,9,12,23,36,38
17,20,22,26,34,39
5,11,23,25,31,39
8,18,33,36,37,38
6,16,21,24,30,39
2,11,18,20,25,26
4,14,22,31,36,37
6,12,15,22,34,42
11,17,20,34,41,42
18,24,27,29,33,35
6,8,17,21,30,31
6,11,18,29,37,38
6,9,16,28,29,36
3,5,10,18,23,37
3,4,16,24,29,42
2,8,24,26,29,37
9,11,14,22,26,31
1,14,23,25,33,41
8,20,21,26,36,38
3,4,22,26,30,37
3,4,9,10,22,35
4,23,27,34,36,39
8,11,14,21,37,41
2,14,15,16,26,41
5,9,15,18,27,30
11,13,14,28,30,35
2,13,14,19,20,41
10,11,18,28,29,37
1,7,13,27,28,37
6,20,22,23,31,37
12,16,28,30,34,38
2,5,6,10,25,41
6,8,14,21,28,35
1,17,25,35,36,40
4,18,21,23,27,32
13,14,17,24,25,40
3,7,9,15,20,41
3,9,15,17,20,25
4,7,21,22,37,42
13,19,24,26,31,33
7,13,19,20,35,39
3,8,17,30,35,41
3,7,17,24,35,38
11,18,21,32,36,42
4,6,8,13,14,15
6,16,23,32,33,42
2,5,6,15,17,30
3,12,18,20,29,37
2,5,7,14,27,31
1,7,17,26,27,37
6,19,21,28,33,34
6,14,16,21,30,36
2,7,12,27,37,40
2,14,18,19,24,41
24,26,37,38,39,41
1,14,27,32,37,38
2,5,20,23,38,42
4,7,17,22,38,40
10,15,18,25,26,40
2,5,15,17,31,33
4,19,20,23,26,40
17,25,27,33,40,41
7,13,23,31,35,39
4,15,18,21,28,35
1,17,19,21,35,36
4,6,23,26,29,42
2,17,22,25,34,35
5,7,15,18,24,30
5,12,13,15,28,35
4,7,11,14,27,32
2,6,22,27,31,33
3,13,22,26,27,30
9,13,14,19,33,36
5,9,14,19,25,27
1,3,4,25,26,37
7,10,15,38,39,40
8,13,19,30,35,40
2,8,23,27,36,42
4,11,18,20,22,36
19,20,24,25,26,30
2,10,11,12,32,35
3,26,30,33,35,38
22,23,29,31,34,37
3,4,6,20,34,36
4,5,9,31,39,42
6,12,21,26,31,38
15,19,23,27,35,36
13,16,18,27,33,35
3,4,14,21,37,39
10,13,26,33,38,40
19,21,22,24,34,37
5,6,8,32,38,42
13,16,21,26,30,38
5,14,28,32,38,40
6,17,18,20,26,28
5,11,14,19,22,30
1,17,23,30,36,40
5,6,7,11,17,36
7,12,14,21,23,32
5,11,19,21,30,37
1,4,25,35,38,41
5,10,15,28,32,41
6,8,9,16,20,27
3,12,13,27,31,37
4,10,24,27,30,38
9,17,19,26,38,40
1,4,13,24,27,34
1,13,15,27,32,33
2,6,17,32,33,35
9,15,31,34,35,37
6,12,13,14,33,41
1,2,11,18,23,41
11,15,17,19,22,41
18,22,27,36,39,40
4,8,14,15,18,20
11,16,20,26,39,40
3,11,13,32,33,41
5,15,16,17,26,32
1,2,6,7,9,38
4,7,12,23,25,37
2,13,22,25,26,34
23,25,27,31,33,40
3,7,9,15,29,31
11,13,14,29,32,40
1,7,9,13,18,39
1,8,9,23,29,35
3,9,11,24,34,38
6,13,23,29,34,42
14,21,26,37,39,41
3,4,20,22,36,42
16,22,26,27,31,32
